it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
    48  0.96000000E-08  0.24651634E-11  0.11535645E+07  0.27981354E+12  0.21149825E+12 -0.20141474E+11  0.10085318E+08  0.18310547E-05  0.10698303E+00  0.27171105E+20  0.18310547E-05  0.10707825E+00  0.25141738E+06  0.12304688E-02  0.11314453E+00 -0.52287084E+07 -0.20880000E+06  0.10674683E+00  0.11707764E+00  0.10085318E+08  0.18310547E-05  0.10698303E+00  0.58851289E+02       72448  0.36621094E-05 10
    49  0.98000000E-08  0.24619481E-11  0.11718750E+07  0.28832885E+12  0.21840402E+12 -0.20546021E+11  0.10104418E+08  0.18310547E-05  0.10674866E+00  0.27336959E+20  0.18310547E-05  0.10684753E+00  0.25306311E+06  0.12304688E-02  0.11314453E+00 -0.52656597E+07 -0.20880000E+06  0.10651245E+00  0.11707764E+00  0.10104418E+08  0.18310547E-05  0.10674866E+00  0.60837737E+02       73600  0.36621094E-05 10
    50  0.10000000E-07  0.24596321E-11  0.11718750E+07  0.29703203E+12  0.22547783E+12 -0.20951549E+11  0.10119416E+08  0.18310547E-05  0.10651428E+00  0.27470891E+20  0.18310547E-05  0.10661316E+00  0.25453399E+06  0.12304688E-02  0.11314453E+00 -0.52979942E+07 -0.20880000E+06  0.10627808E+00  0.11707764E+00  0.10119416E+08  0.18310547E-05  0.10651428E+00  0.62849361E+02       73408  0.36621094E-05 10
    51  0.10200000E-07  0.24576137E-11  0.11901855E+07  0.30592625E+12  0.23272243E+12 -0.21357988E+11  0.10133163E+08  0.18310547E-05  0.10627625E+00  0.27580826E+20  0.18310547E-05  0.10637512E+00  0.25587253E+06  0.12304688E-02  0.11314453E+00 -0.53244549E+07 -0.20880000E+06  0.10603638E+00  0.11707764E+00  0.10133163E+08  0.18310547E-05  0.10627625E+00  0.64917325E+02       73984  0.36621094E-05 10
    52  0.10400000E-07  0.24563129E-11  0.11901855E+07  0.31501316E+12  0.24013942E+12 -0.21765327E+11  0.10144029E+08  0.18310547E-05  0.10603821E+00  0.27674391E+20  0.18310547E-05  0.10613708E+00  0.26627662E+06  0.13476562E-02  0.11302734E+00 -0.53468474E+07 -0.20880000E+06  0.10579468E+00  0.11707764E+00  0.10144029E+08  0.18310547E-05  0.10603821E+00  0.66903954E+02       73792  0.36621094E-05 10
    53  0.10600000E-07  0.24551370E-11  0.12084961E+07  0.32429483E+12  0.24773060E+12 -0.22173554E+11  0.10154812E+08  0.18310547E-05  0.10579651E+00  0.27755542E+20  0.18310547E-05  0.10589905E+00  0.27670217E+06  0.13476562E-02  0.11302734E+00 -0.53643194E+07 -0.20880000E+06  0.10555298E+00  0.11707764E+00  0.10154812E+08  0.18310547E-05  0.10579651E+00  0.68964565E+02       74176  0.36621094E-05 10
    54  0.10800000E-07  0.24540965E-11  0.12084961E+07  0.33377231E+12  0.25549708E+12 -0.22582664E+11  0.10164160E+08  0.18310547E-05  0.10555481E+00  0.27830855E+20  0.18310547E-05  0.10565735E+00  0.28623382E+06  0.13476562E-02  0.11302734E+00 -0.53770512E+07 -0.20880000E+06  0.10531128E+00  0.11707764E+00  0.10164160E+08  0.18310547E-05  0.10555481E+00  0.70980793E+02       74752  0.36621094E-05 10
    55  0.11000000E-07  0.24480733E-11  0.12268066E+07  0.34344756E+12  0.26344061E+12 -0.22992641E+11  0.10173003E+08  0.18310547E-05  0.10530945E+00  0.27894901E+20  0.36621094E-05  0.10541382E+00  0.29541563E+06  0.13476562E-02  0.11291016E+00 -0.53859457E+07 -0.20880000E+06  0.10506226E+00  0.11707764E+00  0.10173003E+08  0.18310547E-05  0.10530945E+00  0.72977784E+02       76864  0.36621094E-05 10
    56  0.11200000E-07  0.24467889E-11  0.12268066E+07  0.35332166E+12  0.27156238E+12 -0.23403467E+11  0.10182324E+08  0.18310547E-05  0.10506409E+00  0.27969356E+20  0.18310547E-05  0.10517029E+00  0.30435019E+06  0.13476562E-02  0.11291016E+00 -0.53925297E+07 -0.20880000E+06  0.10482056E+00  0.11707764E+00  0.10182324E+08  0.18310547E-05  0.10506409E+00  0.75043109E+02       76288  0.36621094E-05 10
    57  0.11400000E-07  0.24454611E-11  0.12268066E+07  0.36339707E+12  0.27986459E+12 -0.23815151E+11  0.10192193E+08  0.18310547E-05  0.10481873E+00  0.28044175E+20  0.18310547E-05  0.10492126E+00  0.31257430E+06  0.13476562E-02  0.11291016E+00 -0.53979159E+07 -0.20880000E+06  0.10457153E+00  0.11707764E+00  0.10192193E+08  0.18310547E-05  0.10481873E+00  0.77092427E+02       77824  0.36621094E-05 10
    58  0.11600000E-07  0.24441288E-11  0.12451172E+07  0.37367571E+12  0.28834926E+12 -0.24227635E+11  0.10201732E+08  0.18310547E-05  0.10456970E+00  0.28119119E+20  0.18310547E-05  0.10467590E+00  0.32020566E+06  0.13476562E-02  0.11291016E+00 -0.54028797E+07 -0.20880000E+06  0.10432251E+00  0.11707764E+00  0.10201732E+08  0.18310547E-05  0.10456970E+00  0.79166536E+02       78208  0.36621094E-05 10
