time  field
6.00120024e-09  1.50000000e+06
6.00720144e-09  1.50000000e+06
6.01320264e-09  1.50000000e+06
6.01920384e-09  1.50000000e+06
6.02520504e-09  1.50000000e+06
6.03120624e-09  1.50000000e+06
6.03720744e-09  1.50000000e+06
6.04320864e-09  1.50000000e+06
6.04920984e-09  1.50000000e+06
6.05521104e-09  1.50000000e+06
6.06121224e-09  1.50000000e+06
6.06721344e-09  1.50000000e+06
6.07321464e-09  1.50000000e+06
6.07921584e-09  1.50000000e+06
6.08521704e-09  1.50000000e+06
6.09121824e-09  1.50000000e+06
6.09721944e-09  1.50000000e+06
6.10322064e-09  1.50000000e+06
6.10922184e-09  1.50000000e+06
6.11522304e-09  1.50000000e+06
6.12122424e-09  1.50000000e+06
6.12722545e-09  1.50000000e+06
6.13322665e-09  1.50000000e+06
6.13922785e-09  1.50000000e+06
6.14522905e-09  1.50000000e+06
6.15123025e-09  1.50000000e+06
6.15723145e-09  1.50000000e+06
6.16323265e-09  1.50000000e+06
6.16923385e-09  1.50000000e+06
6.17523505e-09  1.50000000e+06
6.18123625e-09  1.50000000e+06
6.18723745e-09  1.50000000e+06
6.19323865e-09  1.50000000e+06
6.19923985e-09  1.50000000e+06
6.20524105e-09  1.50000000e+06
6.21124225e-09  1.50000000e+06
6.21724345e-09  1.50000000e+06
6.22324465e-09  1.50000000e+06
6.22924585e-09  1.50000000e+06
6.23524705e-09  1.50000000e+06
6.24124825e-09  1.50000000e+06
6.24724945e-09  1.50000000e+06
6.25325065e-09  1.50000000e+06
6.25925185e-09  1.50000000e+06
6.26525305e-09  1.50000000e+06
6.27125425e-09  1.50000000e+06
6.27725545e-09  1.50000000e+06
6.28325665e-09  1.50000000e+06
6.28925785e-09  1.50000000e+06
6.29525905e-09  1.50000000e+06
6.30126025e-09  1.50000000e+06
6.30726145e-09  1.50000000e+06
6.31326265e-09  1.50000000e+06
6.31926385e-09  1.50000000e+06
6.32526505e-09  1.50000000e+06
6.33126625e-09  1.50000000e+06
6.33726745e-09  1.50000000e+06
6.34326865e-09  1.50000000e+06
6.34926985e-09  1.50000000e+06
6.35527105e-09  1.50000000e+06
6.36127225e-09  1.50000000e+06
6.36727345e-09  1.50000000e+06
6.37327465e-09  1.50000000e+06
6.37927586e-09  1.50000000e+06
6.38527706e-09  1.50000000e+06
6.39127826e-09  1.50000000e+06
6.39727946e-09  1.50000000e+06
6.40328066e-09  1.50000000e+06
6.40928186e-09  1.50000000e+06
6.41528306e-09  1.50000000e+06
6.42128426e-09  1.50000000e+06
6.42728546e-09  1.50000000e+06
6.43328666e-09  1.50000000e+06
6.43928786e-09  1.50000000e+06
6.44528906e-09  1.50000000e+06
6.45129026e-09  1.50000000e+06
6.45729146e-09  1.50000000e+06
6.46329266e-09  1.50000000e+06
6.46929386e-09  1.50000000e+06
6.47529506e-09  1.50000000e+06
6.48129626e-09  1.50000000e+06
6.48729746e-09  1.50000000e+06
6.49329866e-09  1.50000000e+06
6.49929986e-09  1.50000000e+06
6.50530106e-09  1.50000000e+06
6.51130226e-09  1.50000000e+06
6.51730346e-09  1.50000000e+06
6.52330466e-09  1.50000000e+06
6.52930586e-09  1.50000000e+06
6.53530706e-09  1.50000000e+06
6.54130826e-09  1.50000000e+06
6.54730946e-09  1.50000000e+06
6.55331066e-09  1.50000000e+06
6.55931186e-09  1.50000000e+06
6.56531306e-09  1.50000000e+06
6.57131426e-09  1.50000000e+06
6.57731546e-09  1.50000000e+06
6.58331666e-09  1.50000000e+06
6.58931786e-09  1.50000000e+06
6.59531906e-09  1.50000000e+06
6.60132026e-09  1.50000000e+06
6.60732146e-09  1.50000000e+06
6.61332266e-09  1.50000000e+06
6.61932386e-09  1.50000000e+06
6.62532507e-09  1.50000000e+06
6.63132627e-09  1.50000000e+06
6.63732747e-09  1.50000000e+06
6.64332867e-09  1.50000000e+06
6.64932987e-09  1.50000000e+06
6.65533107e-09  1.50000000e+06
6.66133227e-09  1.50000000e+06
6.66733347e-09  1.50000000e+06
6.67333467e-09  1.50000000e+06
6.67933587e-09  1.50000000e+06
6.68533707e-09  1.50000000e+06
6.69133827e-09  1.50000000e+06
6.69733947e-09  1.50000000e+06
6.70334067e-09  1.50000000e+06
6.70934187e-09  1.50000000e+06
6.71534307e-09  1.50000000e+06
6.72134427e-09  1.50000000e+06
6.72734547e-09  1.50000000e+06
6.73334667e-09  1.50000000e+06
6.73934787e-09  1.50000000e+06
6.74534907e-09  1.50000000e+06
6.75135027e-09  1.50000000e+06
6.75735147e-09  1.50000000e+06
6.76335267e-09  1.50000000e+06
6.76935387e-09  1.50000000e+06
6.77535507e-09  1.50000000e+06
6.78135627e-09  1.50000000e+06
6.78735747e-09  1.50000000e+06
6.79335867e-09  1.50000000e+06
6.79935987e-09  1.50000000e+06
6.80536107e-09  1.50000000e+06
6.81136227e-09  1.50000000e+06
6.81736347e-09  1.50000000e+06
6.82336467e-09  1.50000000e+06
6.82936587e-09  1.50000000e+06
6.83536707e-09  1.50000000e+06
6.84136827e-09  1.50000000e+06
6.84736947e-09  1.50000000e+06
6.85337067e-09  1.50000000e+06
6.85937187e-09  1.50000000e+06
6.86537307e-09  1.50000000e+06
6.87137427e-09  1.50000000e+06
6.87737548e-09  1.50000000e+06
6.88337668e-09  1.50000000e+06
6.88937788e-09  1.50000000e+06
6.89537908e-09  1.50000000e+06
6.90138028e-09  1.50000000e+06
6.90738148e-09  1.50000000e+06
6.91338268e-09  1.50000000e+06
6.91938388e-09  1.50000000e+06
6.92538508e-09  1.50000000e+06
6.93138628e-09  1.50000000e+06
6.93738748e-09  1.50000000e+06
6.94338868e-09  1.50000000e+06
6.94938988e-09  1.50000000e+06
6.95539108e-09  1.50000000e+06
6.96139228e-09  1.50000000e+06
6.96739348e-09  1.50000000e+06
6.97339468e-09  1.50000000e+06
6.97939588e-09  1.50000000e+06
6.98539708e-09  1.50000000e+06
6.99139828e-09  1.50000000e+06
6.99739948e-09  1.50000000e+06
7.00340068e-09  1.50000000e+06
7.00940188e-09  1.50000000e+06
7.01540308e-09  1.50000000e+06
7.02140428e-09  1.50000000e+06
7.02740548e-09  1.50000000e+06
7.03340668e-09  1.50000000e+06
7.03940788e-09  1.50000000e+06
7.04540908e-09  1.50000000e+06
7.05141028e-09  1.50000000e+06
7.05741148e-09  1.50000000e+06
7.06341268e-09  1.50000000e+06
7.06941388e-09  1.50000000e+06
7.07541508e-09  1.50000000e+06
7.08141628e-09  1.50000000e+06
7.08741748e-09  1.50000000e+06
7.09341868e-09  1.50000000e+06
7.09941988e-09  1.50000000e+06
7.10542108e-09  1.50000000e+06
7.11142228e-09  1.50000000e+06
7.11742348e-09  1.50000000e+06
7.12342468e-09  1.50000000e+06
7.12942589e-09  1.50000000e+06
7.13542709e-09  1.50000000e+06
7.14142829e-09  1.50000000e+06
7.14742949e-09  1.50000000e+06
7.15343069e-09  1.50000000e+06
7.15943189e-09  1.50000000e+06
7.16543309e-09  1.50000000e+06
7.17143429e-09  1.50000000e+06
7.17743549e-09  1.50000000e+06
7.18343669e-09  1.50000000e+06
7.18943789e-09  1.50000000e+06
7.19543909e-09  1.50000000e+06
7.20144029e-09  1.50000000e+06
7.20744149e-09  1.50000000e+06
7.21344269e-09  1.50000000e+06
7.21944389e-09  1.50000000e+06
7.22544509e-09  1.50000000e+06
7.23144629e-09  1.50000000e+06
7.23744749e-09  1.50000000e+06
7.24344869e-09  1.50000000e+06
7.24944989e-09  1.50000000e+06
7.25545109e-09  1.50000000e+06
7.26145229e-09  1.50000000e+06
7.26745349e-09  1.50000000e+06
7.27345469e-09  1.50000000e+06
7.27945589e-09  1.50000000e+06
7.28545709e-09  1.50000000e+06
7.29145829e-09  1.50000000e+06
7.29745949e-09  1.50000000e+06
7.30346069e-09  1.50000000e+06
7.30946189e-09  1.50000000e+06
7.31546309e-09  1.50000000e+06
7.32146429e-09  1.50000000e+06
7.32746549e-09  1.50000000e+06
7.33346669e-09  1.50000000e+06
7.33946789e-09  1.50000000e+06
7.34546909e-09  1.50000000e+06
7.35147029e-09  1.50000000e+06
7.35747149e-09  1.50000000e+06
7.36347269e-09  1.50000000e+06
7.36947389e-09  1.50000000e+06
7.37547510e-09  1.50000000e+06
7.38147630e-09  1.50000000e+06
7.38747750e-09  1.50000000e+06
7.39347870e-09  1.50000000e+06
7.39947990e-09  1.50000000e+06
7.40548110e-09  1.50000000e+06
7.41148230e-09  1.50000000e+06
7.41748350e-09  1.50000000e+06
7.42348470e-09  1.50000000e+06
7.42948590e-09  1.50000000e+06
7.43548710e-09  1.50000000e+06
7.44148830e-09  1.50000000e+06
7.44748950e-09  1.50000000e+06
7.45349070e-09  1.50000000e+06
7.45949190e-09  1.50000000e+06
7.46549310e-09  1.50000000e+06
7.47149430e-09  1.50000000e+06
7.47749550e-09  1.50000000e+06
7.48349670e-09  1.50000000e+06
7.48949790e-09  1.50000000e+06
7.49549910e-09  1.50000000e+06
7.50150030e-09  1.50000000e+06
7.50750150e-09  1.50000000e+06
7.51350270e-09  1.50000000e+06
7.51950390e-09  1.50000000e+06
7.52550510e-09  1.50000000e+06
7.53150630e-09  1.50000000e+06
7.53750750e-09  1.50000000e+06
7.54350870e-09  1.50000000e+06
7.54950990e-09  1.50000000e+06
7.55551110e-09  1.50000000e+06
7.56151230e-09  1.50000000e+06
7.56751350e-09  1.50000000e+06
7.57351470e-09  1.50000000e+06
7.57951590e-09  1.50000000e+06
7.58551710e-09  1.50000000e+06
7.59151830e-09  1.50000000e+06
7.59751950e-09  1.50000000e+06
7.60352070e-09  1.50000000e+06
7.60952190e-09  1.50000000e+06
7.61552310e-09  1.50000000e+06
7.62152430e-09  1.50000000e+06
7.62752551e-09  1.50000000e+06
7.63352671e-09  1.50000000e+06
7.63952791e-09  1.50000000e+06
7.64552911e-09  1.50000000e+06
7.65153031e-09  1.50000000e+06
7.65753151e-09  1.50000000e+06
7.66353271e-09  1.50000000e+06
7.66953391e-09  1.50000000e+06
7.67553511e-09  1.50000000e+06
7.68153631e-09  1.50000000e+06
7.68753751e-09  1.50000000e+06
7.69353871e-09  1.50000000e+06
7.69953991e-09  1.50000000e+06
7.70554111e-09  1.50000000e+06
7.71154231e-09  1.50000000e+06
7.71754351e-09  1.50000000e+06
7.72354471e-09  1.50000000e+06
7.72954591e-09  1.50000000e+06
7.73554711e-09  1.50000000e+06
7.74154831e-09  1.50000000e+06
7.74754951e-09  1.50000000e+06
7.75355071e-09  1.50000000e+06
7.75955191e-09  1.50000000e+06
7.76555311e-09  1.50000000e+06
7.77155431e-09  1.50000000e+06
7.77755551e-09  1.50000000e+06
7.78355671e-09  1.50000000e+06
7.78955791e-09  1.50000000e+06
7.79555911e-09  1.50000000e+06
7.80156031e-09  1.50000000e+06
7.80756151e-09  1.50000000e+06
7.81356271e-09  1.50000000e+06
7.81956391e-09  1.50000000e+06
7.82556511e-09  1.50000000e+06
7.83156631e-09  1.50000000e+06
7.83756751e-09  1.50000000e+06
7.84356871e-09  1.50000000e+06
7.84956991e-09  1.50000000e+06
7.85557111e-09  1.50000000e+06
7.86157231e-09  1.50000000e+06
7.86757351e-09  1.50000000e+06
7.87357471e-09  1.50000000e+06
7.87957592e-09  1.50000000e+06
7.88557712e-09  1.50000000e+06
7.89157832e-09  1.50000000e+06
7.89757952e-09  1.50000000e+06
7.90358072e-09  1.50000000e+06
7.90958192e-09  1.50000000e+06
7.91558312e-09  1.50000000e+06
7.92158432e-09  1.50000000e+06
7.92758552e-09  1.50000000e+06
7.93358672e-09  1.50000000e+06
7.93958792e-09  1.50000000e+06
7.94558912e-09  1.50000000e+06
7.95159032e-09  1.50000000e+06
7.95759152e-09  1.50000000e+06
7.96359272e-09  1.50000000e+06
7.96959392e-09  1.50000000e+06
7.97559512e-09  1.50000000e+06
7.98159632e-09  1.50000000e+06
7.98759752e-09  1.50000000e+06
7.99359872e-09  1.50000000e+06
7.99959992e-09  1.50000000e+06
8.00560112e-09  1.50000000e+06
8.01160232e-09  1.50000000e+06
8.01760352e-09  1.50000000e+06
8.02360472e-09  1.50000000e+06
8.02960592e-09  1.50000000e+06
8.03560712e-09  1.50000000e+06
8.04160832e-09  1.50000000e+06
8.04760952e-09  1.50000000e+06
8.05361072e-09  1.50000000e+06
8.05961192e-09  1.50000000e+06
8.06561312e-09  1.50000000e+06
8.07161432e-09  1.50000000e+06
8.07761552e-09  1.50000000e+06
8.08361672e-09  1.50000000e+06
8.08961792e-09  1.50000000e+06
8.09561912e-09  1.50000000e+06
8.10162032e-09  1.50000000e+06
8.10762152e-09  1.50000000e+06
8.11362272e-09  1.50000000e+06
8.11962392e-09  1.50000000e+06
8.12562513e-09  1.50000000e+06
8.13162633e-09  1.50000000e+06
8.13762753e-09  1.50000000e+06
8.14362873e-09  1.50000000e+06
8.14962993e-09  1.50000000e+06
8.15563113e-09  1.50000000e+06
8.16163233e-09  1.50000000e+06
8.16763353e-09  1.50000000e+06
8.17363473e-09  1.50000000e+06
8.17963593e-09  1.50000000e+06
8.18563713e-09  1.50000000e+06
8.19163833e-09  1.50000000e+06
8.19763953e-09  1.50000000e+06
8.20364073e-09  1.50000000e+06
8.20964193e-09  1.50000000e+06
8.21564313e-09  1.50000000e+06
8.22164433e-09  1.50000000e+06
8.22764553e-09  1.50000000e+06
8.23364673e-09  1.50000000e+06
8.23964793e-09  1.50000000e+06
8.24564913e-09  1.50000000e+06
8.25165033e-09  1.50000000e+06
8.25765153e-09  1.50000000e+06
8.26365273e-09  1.50000000e+06
8.26965393e-09  1.50000000e+06
8.27565513e-09  1.50000000e+06
8.28165633e-09  1.50000000e+06
8.28765753e-09  1.50000000e+06
8.29365873e-09  1.50000000e+06
8.29965993e-09  1.50000000e+06
8.30566113e-09  1.50000000e+06
8.31166233e-09  1.50000000e+06
8.31766353e-09  1.50000000e+06
8.32366473e-09  1.50000000e+06
8.32966593e-09  1.50000000e+06
8.33566713e-09  1.50000000e+06
8.34166833e-09  1.50000000e+06
8.34766953e-09  1.50000000e+06
8.35367073e-09  1.50000000e+06
8.35967193e-09  1.50000000e+06
8.36567313e-09  1.50000000e+06
8.37167433e-09  1.50000000e+06
8.37767554e-09  1.50000000e+06
8.38367674e-09  1.50000000e+06
8.38967794e-09  1.50000000e+06
8.39567914e-09  1.50000000e+06
8.40168034e-09  1.50000000e+06
8.40768154e-09  1.50000000e+06
8.41368274e-09  1.50000000e+06
8.41968394e-09  1.50000000e+06
8.42568514e-09  1.50000000e+06
8.43168634e-09  1.50000000e+06
8.43768754e-09  1.50000000e+06
8.44368874e-09  1.50000000e+06
8.44968994e-09  1.50000000e+06
8.45569114e-09  1.50000000e+06
8.46169234e-09  1.50000000e+06
8.46769354e-09  1.50000000e+06
8.47369474e-09  1.50000000e+06
8.47969594e-09  1.50000000e+06
