BOLSIG+ version: 11/2019
Collision input data:
--------------------------------------------------
Ar                                                              
SigloDataBase-LXCat-04Jun2013.txt
How to reference in publications:
1) Yamabe, Buckman, and Phelps, Phys. Rev. 27, 1345 (1983). Revised Oct 1997
2) PHELPS database,http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013.
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. *N (1/m/s)                               
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29    
          44   190.3       7.821      0.7302E+24  0.6518E+25  0.1058E+25  0.5535E+25  0.1742E-12  0.2409E-12  0.4625E-15  0.3329E-20  0.2644E-13  0.4928E-16  0.2277E-13  0.3617E-14   72.41       12.00       2.000    
          45   199.1       7.897      0.7262E+24  0.6490E+25  0.1055E+25  0.5549E+25  0.1755E-12  0.2422E-12  0.5165E-15  0.3572E-20  0.2880E-13  0.5006E-16  0.2467E-13  0.4079E-14   72.41       6.000       1.000    
          46   208.2       7.974      0.7224E+24  0.6463E+25  0.1052E+25  0.5564E+25  0.1768E-12  0.2435E-12  0.5748E-15  0.3821E-20  0.3131E-13  0.5084E-16  0.2668E-13  0.4583E-14   72.41       6.000       1.000    
          47   217.5       8.052      0.7187E+24  0.6436E+25  0.1050E+25  0.5580E+25  0.1780E-12  0.2447E-12  0.6373E-15  0.4078E-20  0.3399E-13  0.5162E-16  0.2880E-13  0.5132E-14   72.41       6.000       1.000    
          48   226.9       8.131      0.7151E+24  0.6412E+25  0.1047E+25  0.5598E+25  0.1793E-12  0.2460E-12  0.7045E-15  0.4341E-20  0.3682E-13  0.5241E-16  0.3104E-13  0.5728E-14   72.41       6.000       1.000    
          49   236.6       8.211      0.7115E+24  0.6388E+25  0.1045E+25  0.5618E+25  0.1805E-12  0.2472E-12  0.7763E-15  0.4611E-20  0.3983E-13  0.5320E-16  0.3340E-13  0.6375E-14   86.29       12.00       2.000    
          50   246.5       8.293      0.7080E+24  0.6365E+25  0.1042E+25  0.5639E+25  0.1818E-12  0.2484E-12  0.8530E-15  0.4888E-20  0.4301E-13  0.5400E-16  0.3589E-13  0.7074E-14   86.29       6.000       1.000    
          51   256.6       8.375      0.7046E+24  0.6344E+25  0.1040E+25  0.5662E+25  0.1830E-12  0.2496E-12  0.9348E-15  0.5171E-20  0.4638E-13  0.5481E-16  0.3850E-13  0.7829E-14   86.29       6.000       1.000    
          52   266.9       8.458      0.7012E+24  0.6323E+25  0.1038E+25  0.5687E+25  0.1842E-12  0.2508E-12  0.1022E-14  0.5460E-20  0.4993E-13  0.5562E-16  0.4124E-13  0.8643E-14   86.29       6.000       1.000    
          53   277.3       8.543      0.6979E+24  0.6304E+25  0.1036E+25  0.5713E+25  0.1854E-12  0.2520E-12  0.1114E-14  0.5756E-20  0.5368E-13  0.5644E-16  0.4411E-13  0.9519E-14   86.29       6.000       1.000    
          54   288.0       8.629      0.6947E+24  0.6286E+25  0.1034E+25  0.5740E+25  0.1866E-12  0.2532E-12  0.1212E-14  0.6058E-20  0.5764E-13  0.5727E-16  0.4712E-13  0.1046E-13   86.29       6.000       1.000    
          55   298.9       8.717      0.6916E+24  0.6269E+25  0.1032E+25  0.5770E+25  0.1878E-12  0.2543E-12  0.1316E-14  0.6366E-20  0.6179E-13  0.5811E-16  0.5027E-13  0.1147E-13   102.8       12.00       2.000    
