BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_phelps.txt
--------------------------------------------------
O2                                                              
cross_section_phelps.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction N2                          0.8000    
A22    Mole fraction O2                          0.2000    
          R#      A1         A16         A17    
         517   35.44       3.000       16.60    
         518   35.69       3.000       16.60    
         519   35.94       3.000       16.60    
         520   36.19       3.000       16.60    
         521   36.44       3.000       19.71    
         522   36.69       3.000       19.71    
         523   36.95       3.000       19.71    
         524   37.20       3.000       19.71    
         525   37.46       3.000       19.71    
         526   37.72       3.000       19.71    
         527   37.98       3.000       19.71    
         528   38.25       3.000       19.71    
         529   38.51       3.000       19.71    
         530   38.78       3.000       19.71    
         531   39.05       3.000       19.71    
         532   39.32       3.000       19.71    
         533   39.59       3.000       19.71    
         534   39.87       3.000       19.71    
         535   40.14       3.000       19.71    
         536   40.42       3.000       19.71    
         537   40.70       3.000       19.71    
         538   40.98       3.000       19.71    
         539   41.27       3.000       19.71    
         540   41.55       3.000       19.71    
         541   41.84       3.000       19.71    
         542   42.13       3.000       19.71    
         543   42.43       3.000       19.71    
         544   42.72       3.000       19.71    
         545   43.02       3.000       19.71    
         546   43.31       3.000       19.71    
         547   43.62       3.000       19.71    
         548   43.92       3.000       19.71    
         549   44.22       3.000       19.71    
         550   44.53       3.000       19.71    
         551   44.84       3.000       19.71    
         552   45.15       3.000       19.71    
         553   45.46       3.000       19.71    
         554   45.78       3.000       19.71    
         555   46.10       3.000       19.71    
         556   46.42       3.000       19.71    
         557   46.74       3.000       23.39    
         558   47.06       3.000       23.39    
         559   47.39       3.000       23.39    
         560   47.72       3.000       23.39    
         561   48.05       3.000       23.39    
         562   48.38       3.000       23.39    
         563   48.72       3.000       23.39    
         564   49.06       3.000       23.39    
         565   49.40       3.000       23.39    
         566   49.74       3.000       23.39    
         567   50.08       3.000       23.39    
         568   50.43       3.000       23.39    
         569   50.78       3.000       23.39    
         570   51.13       3.000       23.39    
         571   51.49       3.000       23.39    
         572   51.85       3.000       23.39    
         573   52.21       3.000       23.39    
         574   52.57       3.000       23.39    
         575   52.93       3.000       23.39    
         576   53.30       3.000       23.39    
         577   53.67       3.000       23.39    
         578   54.04       3.000       23.39    
         579   54.42       3.000       23.39    
         580   54.79       3.000       23.39    
         581   55.17       3.000       23.39    
         582   55.56       3.000       23.39    
         583   55.94       3.000       23.39    
         584   56.33       3.000       23.39    
         585   56.72       3.000       23.39    
         586   57.12       3.000       23.39    
         587   57.51       3.000       23.39    
         588   57.91       3.000       23.39    
         589   58.31       3.000       23.39    
         590   58.72       3.000       23.39    
         591   59.13       3.000       23.39    
         592   59.54       3.000       27.74    
         593   59.95       3.000       27.74    
         594   60.36       3.000       27.74    
         595   60.78       3.000       27.74    
         596   61.20       3.000       27.74    
         597   61.63       3.000       27.74    
         598   62.06       3.000       27.74    
         599   62.49       3.000       27.74    
         600   62.92       3.000       27.74    
         601   63.36       3.000       27.74    
         602   63.80       3.000       27.74    
         603   64.24       3.000       27.74    
         604   64.69       3.000       27.74    
         605   65.13       3.000       27.74    
         606   65.59       3.000       27.74    
         607   66.04       3.000       27.74    
         608   66.50       3.000       27.74    
         609   66.96       3.000       27.74    
         610   67.43       3.000       27.74    
         611   67.89       3.000       27.74    
         612   68.37       3.000       27.74    
         613   68.84       3.000       27.74    
         614   69.32       3.000       27.74    
         615   69.80       3.000       27.74    
         616   70.28       3.000       27.74    
         617   70.77       3.000       27.74    
         618   71.26       3.000       27.74    
         619   71.76       3.000       27.74    
         620   72.25       3.000       27.74    
         621   72.75       3.000       27.74    
         622   73.26       3.000       27.74    
         623   73.77       3.000       27.74    
         624   74.28       3.000       27.74    
         625   74.80       3.000       27.74    
         626   75.31       3.000       27.74    
         627   75.84       3.000       32.88    
         628   76.36       3.000       32.88    
         629   76.89       3.000       32.88    
         630   77.43       3.000       32.88    
         631   77.96       3.000       32.88    
         632   78.50       3.000       32.88    
         633   79.05       3.000       32.88    
         634   79.60       3.000       32.88    
         635   80.15       3.000       32.88    
         636   80.71       3.000       32.88    
         637   81.27       3.000       32.88    
         638   81.83       3.000       32.88    
         639   82.40       3.000       32.88    
         640   82.97       3.000       32.88    
         641   83.55       3.000       32.88    
         642   84.12       3.000       32.88    
         643   84.71       3.000       32.88    
         644   85.30       3.000       32.88    
         645   85.89       3.000       32.88    
         646   86.48       3.000       32.88    
         647   87.08       3.000       32.88    
         648   87.69       3.000       32.88    
         649   88.30       3.000       32.88    
         650   88.91       3.000       32.88    
         651   89.53       3.000       32.88    
         652   90.15       3.000       32.88    
         653   90.77       3.000       32.88    
         654   91.40       3.000       32.88    
         655   92.04       3.000       32.88    
         656   92.68       3.000       32.88    
         657   93.32       3.000       32.88    
         658   93.97       3.000       32.88    
         659   94.62       3.000       32.88    
         660   95.28       3.000       32.88    
         661   95.94       3.000       38.95    
         662   96.60       3.000       38.95    
         663   97.27       3.000       38.95    
         664   97.95       3.000       38.95    
         665   98.63       3.000       38.95    
         666   99.31       3.000       38.95    
         667   100.0       3.000       38.95    
         668   100.7       3.000       38.95    
         669   101.4       3.000       38.95    
         670   102.1       3.000       38.95    
         671   102.8       3.000       38.95    
         672   103.5       3.000       38.95    
         673   104.2       3.000       38.95    
         674   105.0       3.000       38.95    
         675   105.7       3.000       38.95    
         676   106.4       3.000       38.95    
         677   107.2       3.000       38.95    
         678   107.9       3.000       38.95    
         679   108.7       3.000       38.95    
         680   109.4       3.000       38.95    
         681   110.2       3.000       38.95    
         682   110.9       3.000       38.95    
