BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
CO2                                                             
cross_section_CO2_IST-Lisbon.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction CO2                          1.000    
          35   3.255      0.3882E-01  0.1751E+25  0.4506E+23  0.2969E+25  0.6769E+23  0.1023E-12  0.1005E-12   0.000       0.000       0.000       0.000      0.1855E-16  0.7119E-21  0.1855E-16   0.000      0.7398       4.000       1.000    
          36   3.370      0.3931E-01  0.1753E+25  0.4570E+23  0.2975E+25  0.6876E+23  0.1023E-12  0.1004E-12   0.000       0.000       0.000       0.000      0.1991E-16  0.1924E-20  0.1990E-16   0.000      0.8811       8.000       2.000    
          37   3.489      0.3981E-01  0.1755E+25  0.4633E+23  0.2980E+25  0.6988E+23  0.1022E-12  0.1002E-12   0.000       0.000       0.000       0.000      0.2136E-16  0.3205E-20  0.2135E-16   0.000      0.8811       4.000       1.000    
          38   3.612      0.4034E-01  0.1757E+25  0.4699E+23  0.2986E+25  0.7108E+23  0.1022E-12  0.1001E-12   0.000       0.000       0.000       0.000      0.2292E-16  0.4542E-20  0.2291E-16   0.000      0.8811       4.000       1.000    
          39   3.740      0.4089E-01  0.1759E+25  0.4769E+23  0.2993E+25  0.7238E+23  0.1022E-12  0.1000E-12   0.000       0.000       0.000       0.000      0.2460E-16  0.5938E-20  0.2459E-16   0.000      0.8811       4.000       1.000    
          40   3.872      0.4147E-01  0.1761E+25  0.4843E+23  0.3000E+25  0.7377E+23  0.1021E-12  0.9988E-13   0.000       0.000       0.000       0.000      0.2640E-16  0.7396E-20  0.2639E-16   0.000      0.8811       4.000       1.000    
          41   4.009      0.4209E-01  0.1764E+25  0.4927E+23  0.3008E+25  0.7529E+23  0.1021E-12  0.9971E-13   0.000       0.000       0.000       0.000      0.2835E-16  0.8918E-20  0.2833E-16   0.000       1.049       8.000       2.000    
          42   4.150      0.4273E-01  0.1767E+25  0.5009E+23  0.3017E+25  0.7691E+23  0.1020E-12  0.9956E-13   0.000       0.000       0.000       0.000      0.3043E-16  0.1052E-19  0.3042E-16   0.000       1.049       4.000       1.000    
          43   4.297      0.4341E-01  0.1769E+25  0.5097E+23  0.3026E+25  0.7866E+23  0.1020E-12  0.9940E-13   0.000       0.000       0.000       0.000      0.3267E-16  0.1219E-19  0.3266E-16   0.000       1.049       4.000       1.000    
          44   4.449      0.4412E-01  0.1773E+25  0.5190E+23  0.3036E+25  0.8057E+23  0.1019E-12  0.9922E-13   0.000       0.000       0.000       0.000      0.3508E-16  0.1395E-19  0.3506E-16   0.000       1.049       4.000       1.000    
