BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_air_phelps.txt
--------------------------------------------------
O2                                                              
cross_section_air_phelps.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction N2                          0.8000    
A22    Mole fraction O2                          0.2000    
          R#      A1         A16         A17    
          34   3.144      0.5387      0.3668E+25  0.1584E+25  0.5186E+25  0.1795E+25  0.3640E-13  0.4795E-13   0.000      0.2480E-36   0.000      0.2151E-40  0.3626E-16  0.9053E-18  0.3537E-16 -0.1336E-36   2.435       5.000       1.000    
          35   3.255      0.5542      0.3593E+25  0.1598E+25  0.5080E+25  0.1810E+25  0.3714E-13  0.4895E-13   0.000      0.2409E-36   0.000      0.2060E-40  0.3807E-16  0.9493E-18  0.3714E-16 -0.1335E-36   2.435       5.000       1.000    
          36   3.370      0.5698      0.3520E+25  0.1612E+25  0.4977E+25  0.1823E+25  0.3787E-13  0.4997E-13   0.000      0.2340E-36   0.000      0.1973E-40  0.3998E-16  0.9942E-18  0.3900E-16 -0.1333E-36   2.435       5.000       1.000    
          37   3.489      0.5855      0.3448E+25  0.1625E+25  0.4878E+25  0.1837E+25  0.3861E-13  0.5102E-13   0.000      0.2272E-36   0.000      0.1889E-40  0.4197E-16  0.1040E-17  0.4095E-16 -0.1330E-36   2.435       5.000       1.000    
          38   3.612      0.6012      0.3377E+25  0.1639E+25  0.4782E+25  0.1849E+25  0.3935E-13  0.5209E-13   0.000      0.2206E-36   0.000      0.1809E-40  0.4406E-16  0.1086E-17  0.4299E-16 -0.1326E-36   2.435       5.000       1.000    
          39   3.740      0.6168      0.3307E+25  0.1652E+25  0.4689E+25  0.1861E+25  0.4008E-13  0.5319E-13   0.000      0.2142E-36   0.000      0.1732E-40  0.4625E-16  0.1133E-17  0.4514E-16 -0.1321E-36   2.435       5.000       1.000    
          40   3.872      0.6323      0.3239E+25  0.1665E+25  0.4600E+25  0.1873E+25  0.4081E-13  0.5430E-13   0.000      0.2080E-36   0.000      0.1659E-40  0.4856E-16  0.1180E-17  0.4740E-16 -0.1315E-36   2.435       5.000       1.000    
          41   4.009      0.6476      0.3172E+25  0.1677E+25  0.4513E+25  0.1883E+25  0.4153E-13  0.5544E-13   0.000      0.2020E-36   0.000      0.1588E-40  0.5098E-16  0.1227E-17  0.4977E-16 -0.1308E-36   2.435       5.000       1.000    
          42   4.150      0.6628      0.3108E+25  0.1690E+25  0.4431E+25  0.1894E+25  0.4224E-13  0.5660E-13   0.000      0.1962E-36   0.000      0.1521E-40  0.5353E-16  0.1274E-17  0.5227E-16 -0.1300E-36   2.435       5.000       1.000    
          43   4.297      0.6778      0.3045E+25  0.1702E+25  0.4351E+25  0.1903E+25  0.4295E-13  0.5777E-13   0.000      0.1906E-36   0.000      0.1457E-40  0.5622E-16  0.1321E-17  0.5491E-16 -0.1292E-36   2.435       5.000       1.000    
          44   4.449      0.6925      0.2983E+25  0.1713E+25  0.4274E+25  0.1912E+25  0.4364E-13  0.5896E-13   0.000      0.1852E-36   0.000      0.1396E-40  0.5904E-16  0.1368E-17  0.5769E-16 -0.1283E-36   2.435       5.000       1.000    
          45   4.606      0.7070      0.2924E+25  0.1724E+25  0.4201E+25  0.1921E+25  0.4432E-13  0.6016E-13   0.000      0.1800E-36   0.000      0.1337E-40  0.6203E-16  0.1415E-17  0.6063E-16 -0.1273E-36   2.435       5.000       1.000    
          46   4.769      0.7211      0.2866E+25  0.1735E+25  0.4130E+25  0.1929E+25  0.4500E-13  0.6137E-13   0.000      0.1751E-36   0.000      0.1281E-40  0.6517E-16  0.1461E-17  0.6373E-16 -0.1263E-36   2.435       5.000       1.000    
          47   4.937      0.7350      0.2810E+25  0.1745E+25  0.4062E+25  0.1936E+25  0.4565E-13  0.6259E-13   0.000      0.1703E-36   0.000      0.1228E-40  0.6850E-16  0.1507E-17  0.6701E-16 -0.1252E-36   2.435       5.000       1.000    
          48   5.111      0.7485      0.2756E+25  0.1755E+25  0.3996E+25  0.1943E+25  0.4630E-13  0.6381E-13   0.000      0.1658E-36   0.000      0.1177E-40  0.7201E-16  0.1552E-17  0.7048E-16 -0.1241E-36   2.435       5.000       1.000    
          49   5.292      0.7617      0.2704E+25  0.1765E+25  0.3933E+25  0.1949E+25  0.4693E-13  0.6505E-13   0.000      0.1615E-36   0.000      0.1128E-40  0.7573E-16  0.1597E-17  0.7415E-16 -0.1230E-36   2.435       5.000       1.000    
          50   5.479      0.7745      0.2654E+25  0.1774E+25  0.3873E+25  0.1955E+25  0.4754E-13  0.6628E-13   0.000      0.1573E-36   0.000      0.1082E-40  0.7966E-16  0.1642E-17  0.7803E-16 -0.1218E-36   2.435       5.000       1.000    
          51   5.672      0.7869      0.2605E+25  0.1782E+25  0.3814E+25  0.1960E+25  0.4814E-13  0.6752E-13   0.000      0.1534E-36   0.000      0.1038E-40  0.8382E-16  0.1685E-17  0.8215E-16 -0.1207E-36   2.435       5.000       1.000    
          52   5.873      0.7990      0.2558E+25  0.1790E+25  0.3758E+25  0.1965E+25  0.4873E-13  0.6875E-13   0.000      0.1497E-36   0.000      0.9962E-41  0.8823E-16  0.1728E-17  0.8650E-16 -0.1196E-36   2.900       10.00       2.000    
          53   6.080      0.8107      0.2513E+25  0.1798E+25  0.3704E+25  0.1970E+25  0.4929E-13  0.6999E-13   0.000      0.1461E-36   0.000      0.9562E-41  0.9290E-16  0.1770E-17  0.9113E-16 -0.1184E-36   2.900       5.000       1.000    
          54   6.295      0.8220      0.2469E+25  0.1805E+25  0.3652E+25  0.1974E+25  0.4985E-13  0.7122E-13   0.000      0.1427E-36   0.000      0.9181E-41  0.9786E-16  0.1811E-17  0.9604E-16 -0.1173E-36   2.900       5.000       1.000    
          55   6.517      0.8330      0.2427E+25  0.1812E+25  0.3602E+25  0.1978E+25  0.5039E-13  0.7246E-13   0.000      0.1395E-36   0.000      0.8818E-41  0.1031E-15  0.1852E-17  0.1013E-15 -0.1162E-36   2.900       5.000       1.000    
          56   6.748      0.8436      0.2387E+25  0.1819E+25  0.3554E+25  0.1982E+25  0.5092E-13  0.7368E-13   0.000      0.1365E-36   0.000      0.8472E-41  0.1087E-15  0.1892E-17  0.1068E-15 -0.1151E-36   2.900       5.000       1.000    
          57   6.986      0.8539      0.2348E+25  0.1825E+25  0.3507E+25  0.1985E+25  0.5143E-13  0.7490E-13   0.000      0.1336E-36   0.000      0.8142E-41  0.1146E-15  0.1931E-17  0.1127E-15 -0.1140E-36   2.900       5.000       1.000    
          58   7.233      0.8638      0.2311E+25  0.1831E+25  0.3462E+25  0.1988E+25  0.5193E-13  0.7611E-13   0.000      0.1308E-36   0.000      0.7827E-41  0.1209E-15  0.1969E-17  0.1189E-15 -0.1130E-36   2.900       5.000       1.000    
          59   7.488      0.8733      0.2275E+25  0.1836E+25  0.3419E+25  0.1991E+25  0.5242E-13  0.7732E-13   0.000      0.1282E-36   0.000      0.7527E-41  0.1276E-15  0.2006E-17  0.1255E-15 -0.1120E-36   2.900       5.000       1.000    
          60   7.753      0.8825      0.2240E+25  0.1841E+25  0.3377E+25  0.1993E+25  0.5289E-13  0.7851E-13   0.000      0.1258E-36   0.000      0.7241E-41  0.1346E-15  0.2043E-17  0.1326E-15 -0.1110E-36   2.900       5.000       1.000    
          61   8.026      0.8914      0.2207E+25  0.1846E+25  0.3336E+25  0.1995E+25  0.5335E-13  0.7969E-13   0.000      0.1234E-36   0.000      0.6968E-41  0.1422E-15  0.2079E-17  0.1401E-15 -0.1100E-36   2.900       5.000       1.000    
          62   8.310      0.9000      0.2175E+25  0.1851E+25  0.3297E+25  0.1997E+25  0.5379E-13  0.8086E-13   0.000      0.1212E-36   0.000      0.6707E-41  0.1502E-15  0.2114E-17  0.1481E-15 -0.1091E-36   2.900       5.000       1.000    
          63   8.603      0.9082      0.2144E+25  0.1855E+25  0.3259E+25  0.1998E+25  0.5423E-13  0.8202E-13   0.000      0.1191E-36   0.000      0.6458E-41  0.1587E-15  0.2148E-17  0.1566E-15 -0.1082E-36   2.900       5.000       1.000    
